%s already exists,%s ya existe
%s already exist,%s ya existe
-- Please Select --,-- Por favor seleccione --
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El código del sitio web debe contener sólo letras (a-z), números (0-9) o guiones bajos(_), el primer carácter debe ser una letra"
"Date/time format ""%s"" is not supported.","El formato de fecha/hora ""%s"" no está soportado."
"Module ""%1$s"" requires module ""%2$s""","El módulo ""%1$s"" requiere el módulo ""%2$s"""
Invalid block name to set child %s: %s,El nombre de bloque para configurar child es inválido %s: %s
Model collection resource name is not defined,El nombre del recurso de la colección de modelo no está definido
Resource is not set,El recurso no está configurado
Website was successfully deleted.,El sitio web fue borrado con éxito.
Website was successfully saved,El sitio web fue guardado con éxito.
Invalid block type: %s,El tipo de bloque es inválido: %s
Invalid base url type,El tipo de URL base es inválido
Polls,Encuestas
Error while saving. Please try again later.,"Error al guardar. Por favor, intente más tarde."
"Error in file: ""%s"" - %s","Error en el archivo: ""%s"" - %s"
Error: Passwords do not match,Error: Las contraseñas no coinciden
This category only,Esta categoría solamente
This store cannot be deleted,Esta tienda no puede ser borrada
This store cannot be deleted.,Esta tienda no puede ser borrada.
Status,Estado
This website cannot be deleted,Este sitio web no puede ser borrado
This website cannot be deleted.,Este sitio web no puede ser borrado.
This will be included before head closing tag in page HTML,Esto será incluído en el HTML antes del cierre de la etiqueta head
This will be displayed just before body closing tag,Esto será mostrado justo antes del cierre de la etiqueta body
Incorrect credit card expiration date,Fecha de caducidad de la tarjeta de crédito incorrecta
Date From,Fecha desde
Date To,Fecha hasta
General,General
Session Cookie management,Gestión de las sesiones de cookie
Manage Stores,Gestionar tiendas
Global,Global
Save,Guardar
Save Website,Guardar el sitio web
Save Store,Guardar la tienda
Save Store View,Guardar la vista de la tienda
Enabled,Habilitado
Enabled for Admin,Habilitado para administrador
Enabled for Frontend,Habilitado para el frontend
Host,Host
Id path for specified store,ID de ruta para la tienda especificada
"Unable to delete store. Please, try again later.","Imposible borrar la tienda. Por favor, inténtelo de nuevo más tarde."
"Unable to proceed. Please, try again","Imposible proceder. Por favor, intente más tarde."
Store Information,Información de la tienda
Store View Information,Información de la vista de tienda
Website Information,Información del sitio web
Unsecure,Inseguro
Allowed IPs (comma separated),IPs permitidas (separadas por coma)
Go,Ir
Invalid websites configuration path: %s,La configuración de la ruta del sitio web es inválida: %s
Start date can't be greater than end date,La fecha inicial no puede ser más grande que la fecha final
Store was successfully deleted.,La tienda fue borrada con éxito.
Store was successfully saved,La tienda fue guardada con éxito.
Store doesn't exist,La tienda no existe
Store View was successfully saved,La vista de tienda fue guardada con éxito.
Locale,Local
Log Settings,Log Settings
Logging from Mage::log(). File is located in {{base_dir}}/var/log,Logging from Mage::log(). File is located in {{base_dir}}/var/log
Logging from Mage::logException(). File is located in {{base_dir}}/var/log,Logging from Mage::logException(). File is located in {{base_dir}}/var/log
Logo Image Alt,Logo Image Alt
Logo Image Src,Logo Image Src
Set as default,Marcar como por defecto
Match expressions in the same order as displayed in the configuration.,Match expressions in the same order as displayed in the configuration.
Miscellaneous HTML,Miscellaneous HTML
Miscellaneous scripts,Miscellaneous scripts
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
Wrong number of arguments for %s,Número de argumentos erróneo para %s
No,No
Cannot Delete Email Template,No se puede borrar la plantilla de correo electrónico
Can't retrieve request object,No se puede recuperar el objeto solicitado
Can't retrieve entity config: %s,No se puede recuperar la config. de la entidad: %s
Name,Nombre
Store Name,Nombre de la tienda
Store View Name,Nombre de la vista de tienda
Exceptions Log File Name,Nombre del fichero de registro de excepciones
Current package name,Nombre del paquete actual
Sender name,Nombre del remitente
Website Name,Nombre del sitio web
New Store,Nueva tienda
New Store View,Nueva vista de tienda
New Design Change,Nuevo cambio de diseño
New Website,Nuevo sitio web
Backup options,Opciones de copia de seguridad
Countries options,Opciones de países
Locale options,Opciones locales
Url Options,Opciones URL
Search Engines Optimization,Optimización para motores de búsqueda
Sort order,Orden de clasificación
Default country,País por defecto
Package,Paquete
Default Pages,Páginas por defecto
Profiler,Perfilador
Allow countries,Permitir países
Footer,Pie de página
Layouts,Plantilla
Forgot Password Email Template,Plantilla de correo de contraseña olvidada
Templates,Plantillas
Please define flag code.,Please define flag code.
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
Default,Por defecto
Please choose to register or to checkout as a guest,"Por favor, elija registrarse o comprar como invitado"
Please enter 6 or more characters.,"Por favor, escriba 6 o más caracteres."
Please enter 6 or more characters. Leading or trailing spaces will be ignored.,"Por favor, escriba 6 o más caracteres. Los espacios al principio y al final serán ignorados."
Please enter a valid zip code. For example 90602 or 90602-1234.,"Por favor, escriba un código postal válido."
Please enter a valid zip code.,"Por favor, escriba un código postal válido."
Please enter a valid $ amount. For example $100.00.,"Por favor, escriba un importe válido."
Please enter a valid credit card number.,"Por favor, escriba un número de tarjeta de crédito válido."
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,"Por favor, escriba un número de teléfono válido."
Please enter a number greater than 0 in this field.,"Por favor, escriba un número mayor que 0 en este campo."
Please enter a valid social security number. For example 123-45-6789.,"Por favor, escriba un número válido de seguridad social."
Please enter a valid number in this field.,"Por favor, escriba un número válido en este campo."
Please enter valid password.,"Por favor, escriba una contraseña válida."
Please enter a valid email address. For example johndoe@domain.com.,"Por favor, escriba una dirección de correo válida. Por ejemplo abdullasadi23@gamil.com"
Please enter a valid date.,"Por favor, escriba una fecha válida."
Please enter a valid URL. http:// is required,"Por favor, escriba una ULR válida. http:// es obligatorio"
Please enter a valid URL. For example http://www.example.com or www.example.com,"Por favor, escriba una URL válida. Por ejemplo http://www.ejemplo.com o www.ejemplo.com"
Please specify payment method.,"Por favor, especifique forma de pago."
Please specify shipping method.,"Por favor, especifique método de envío."
"Please wait, loading...","Por favor, espere. Cargando..."
Please select State/Province.,"Por favor, seleccione Estado/Provincia"
Please select one of the above options.,"Por favor, seleccione una de las opciones arriba."
Please select one of the options.,"Por favor, seleccione una de las opciones."
Please select an option.,"Por favor, seleccione una opción."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de fecha: dd/mm/aaaa. Por ejemplo, 17/03/2006 para 17 de marzo de 2006."
Please use letters only (a-z) in this field.,"Por favor, use sólo letras (a-z) en este campo."
Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,"Por favor, use sólo letras (a-z) o números (0-9) en este campo. No se permiten espacios ni otros caracteres."
Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.,"Por favor, use sólo letras (a-z) o números (0-9) o espacios y # en este campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use sólo letras (a-z), números (0-9) o guiones bajos(_) en este campo. El primer carácter debe ser una letra."
Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.,"Por favor, use sólo números en este campo. Evite espacios u otros caracteres como puntos y comas."
Please use letters only (a-z or A-Z) in this field.,"Por favor, utilice sólo letras (a-z ó A-Z) en este campo."
First Day of Week,Primer día de la semana
Prototype Deprecation Log,Prototype Deprecation Log
Port (25),Puerto (25)
Forgot Password Email Sender,Remitente de correo de contraseña olvidada
Sender email,Remitente del correo electrónico
Sales representative,Representante de ventas
"Requested invalid store ""%s""","Requested invalid store ""%s"""
Developer Client Restrictions,Restricciones de cliente para desarrollador
Cookie Path,Ruta de la cookie
Search entire store here...,Search entire store here...
Security,Seguridad
Secure,Seguro
Select Date,Seleccione fecha
Services,Servicios
"Session Lifetime, Seconds","Session Lifetime, Seconds"
Session Validation Settings,Session Validation Settings
System,Sistema
Website,Sitio web
Skin (Images / CSS),Skin (Images / CSS)
Request path for specified store,Solicitud de ruta para la tienda especificada
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
Startup page,Startup page
Store View,Store View
Store view doesn't exist,Store view doesn't exist
Store view was successfully deleted.,Store view was successfully deleted.
Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.,"Su pedido no puede completarse en este momento ya que no existen métodos de envío disponibles. Por favor, realice los cambios necesarios en la dirección de envío."
"Your session has been expired, you will be relogged in now.",Su sesión ha expirado. Tendrá que ingresar nuevamente.
System Log File Name,System Log File Name
Default Title,Título por defecto
Themes,Temas
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
This category and all its child elements,This category and all its child elements
This category and its child categories only,This category and its child categories only
This category and its products only,This category and its products only
This store view cannot be deleted,This store view cannot be deleted
This store view cannot be deleted.,This store view cannot be deleted.
Store,Tienda
Default Store,Tienda por defecto
Title Prefix,Title Prefix
Title Suffix,Title Suffix
Translations,Traducciones
Translate Inline,Traducir en línea
Translate cache should be disabled for both Frontend and Admin inline translations,Translate cache should be disabled for both Frontend and Admin inline translations
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
Base URL,URL Base
Base JavaScript URL,URL Base de JavaScript
Base Link URL,URL Base de Link
Base Media URL,URL Base de Media
Base Skin URL,URL Base de Skin
Default no-route url,URL de no-ruta por defecto
Default web url,URL de web por defecto
Use Web Server Rewrites,Usar reescrituras del servidor web
Use Secure URLs in Frontend,Usar URLs seguras en el Frontend
Use Secure URLs in Admin,Usar URLs seguras en la Administración
Use custom admin URL,Use custom admin URL
Use HTTP Only,Use HTTP Only
Empty main table name,Vaciar el nombre de la tabla principal
Empty identifier field name,Vaciar el nombre del campo identificador
Validate HTTP_USER_AGENT,Validate HTTP_USER_AGENT
Validate HTTP_VIA,Validate HTTP_VIA
Validate HTTP_X_FORWARDED_FOR,Validate HTTP_X_FORWARDED_FOR
Validate REMOTE_ADDR,Validate REMOTE_ADDR
Values less than 60 are ignored.,Values less than 60 are ignored.
Default Store View,Vista de tienda por defecto
Back,Volver atrás
Web,Web
Website doesn't exist,Website doesn't exist
Weekend Days,Weekend Days
Welcome Text,Welcome Text
Website with the same code,Ya existe un sitio web con el mismo código
Store with the same code,Ya existe una tienda con el mismo código
Yes,Yes
Your order can not be completed at this time as there is no payment methods available for it.,Your order can not be completed at this time as there is no payment methods available for it.
Timezone,Zona horaria
View All,Ver más
"By using PayPal as a payment method, it will convert the total form ? to USD using the last exchange conversion",Al seleccionar PayPal como forma de pago el total se convertir� de ? a USD utilizando el �ltimo tipo de cambio
